name,meeting_date,calendar_link,meeting_time,meeting_location,meeting_details,agenda,minutes,video,eComment
"Special Finance & Management Committee", "12/15/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447505&GUID=7464085E-6F30-4CE3-948C-F79FB2359823", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447505&GUID=7464085E-6F30-4CE3-948C-F79FB2359823&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447505&GUID=7464085E-6F30-4CE3-948C-F79FB2359823", "https://oakland.legistar.com/View.ashx?M=M&ID=447505&GUID=7464085E-6F30-4CE3-948C-F79FB2359823", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1887&Mode2=Video", "None"
"Rules and Legislation Committee - CANCELLED", "12/10/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=449596&GUID=23C4301B-1791-46EF-8B8D-CA4149D7362C", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=449596&GUID=23C4301B-1791-46EF-8B8D-CA4149D7362C&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=449596&GUID=23C4301B-1791-46EF-8B8D-CA4149D7362C", "None", "None", "None"
"Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council", "12/8/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=445856&GUID=AA6EDF23-6F01-4F58-B945-E5D622F50415", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=445856&GUID=AA6EDF23-6F01-4F58-B945-E5D622F50415&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=445856&GUID=AA6EDF23-6F01-4F58-B945-E5D622F50415", "https://oakland.legistar.com/View.ashx?M=M&ID=445856&GUID=AA6EDF23-6F01-4F58-B945-E5D622F50415", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1884&Mode2=Video", "None"
"Rules & Legislation Committee", "12/3/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=444712&GUID=ABBB3A42-F13A-4AEF-8E6E-050D2C19DD8A", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=444712&GUID=ABBB3A42-F13A-4AEF-8E6E-050D2C19DD8A&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=444712&GUID=ABBB3A42-F13A-4AEF-8E6E-050D2C19DD8A", "https://oakland.legistar.com/View.ashx?M=M&ID=444712&GUID=ABBB3A42-F13A-4AEF-8E6E-050D2C19DD8A", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1883&Mode2=Video", "None"
"Special Public Safety Committee", "12/1/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=444711&GUID=FD9A92E3-6B88-40EA-9EA2-0D621717F76F", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=444711&GUID=FD9A92E3-6B88-40EA-9EA2-0D621717F76F&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=444711&GUID=FD9A92E3-6B88-40EA-9EA2-0D621717F76F", "https://oakland.legistar.com/View.ashx?M=M&ID=444711&GUID=FD9A92E3-6B88-40EA-9EA2-0D621717F76F", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1882&Mode2=Video", "None"
"Special Life Enrichment Committee", "12/1/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=444710&GUID=A4AC8DA5-44F6-4F4E-96D4-6C3E7CFAAC8C", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=444710&GUID=A4AC8DA5-44F6-4F4E-96D4-6C3E7CFAAC8C&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=444710&GUID=A4AC8DA5-44F6-4F4E-96D4-6C3E7CFAAC8C", "https://oakland.legistar.com/View.ashx?M=M&ID=444710&GUID=A4AC8DA5-44F6-4F4E-96D4-6C3E7CFAAC8C", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1881&Mode2=Video", "None"
" Special Concurrent Meeting of the Oakland Redevelopment Successor Agency and Community & Economic Development Committee", "12/1/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=444709&GUID=EC9E2C89-34C1-431A-A5A3-D29BF58C6455", "1:00 PM", "Sgt. Mark Dunakin Room - Hearing Room 1", "https://oakland.legistar.com/MeetingDetail.aspx?ID=444709&GUID=EC9E2C89-34C1-431A-A5A3-D29BF58C6455&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=444709&GUID=EC9E2C89-34C1-431A-A5A3-D29BF58C6455", "https://oakland.legistar.com/View.ashx?M=M&ID=444709&GUID=EC9E2C89-34C1-431A-A5A3-D29BF58C6455", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1880&Mode2=Video", "None"
"Special Public Works Committee", "12/1/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=444708&GUID=127A739E-C80E-4B98-A29D-4487B5A06909", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=444708&GUID=127A739E-C80E-4B98-A29D-4487B5A06909&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=444708&GUID=127A739E-C80E-4B98-A29D-4487B5A06909", "https://oakland.legistar.com/View.ashx?M=M&ID=444708&GUID=127A739E-C80E-4B98-A29D-4487B5A06909", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1879&Mode2=Video", "None"
"Special Finance & Management Committee", "12/1/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=444707&GUID=61F7E122-DFA7-4A46-B2E0-9D778D36153B", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=444707&GUID=61F7E122-DFA7-4A46-B2E0-9D778D36153B&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=444707&GUID=61F7E122-DFA7-4A46-B2E0-9D778D36153B", "https://oakland.legistar.com/View.ashx?M=M&ID=444707&GUID=61F7E122-DFA7-4A46-B2E0-9D778D36153B", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1878&Mode2=Video", "None"
"Rules and Legislation Committee - CANCELLED", "11/26/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=443526&GUID=26DA59EC-8777-497D-A7C6-1833C0983644", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=443526&GUID=26DA59EC-8777-497D-A7C6-1833C0983644&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=443526&GUID=26DA59EC-8777-497D-A7C6-1833C0983644", "None", "None", "None"
"Public Safety Committee - CANCELLED", "11/24/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=443525&GUID=9F835ABB-8472-49E7-8B2B-B8CEE8938898", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=443525&GUID=9F835ABB-8472-49E7-8B2B-B8CEE8938898&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=443525&GUID=9F835ABB-8472-49E7-8B2B-B8CEE8938898", "None", "None", "None"
"Life Enrichment Committee - CANCELLED", "11/24/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=443524&GUID=7A6ABD51-F8E1-48FD-99FF-15B67C026B33", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=443524&GUID=7A6ABD51-F8E1-48FD-99FF-15B67C026B33&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=443524&GUID=7A6ABD51-F8E1-48FD-99FF-15B67C026B33", "None", "None", "None"
"Community and Economic Development Committee - CANCELLED", "11/24/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=443523&GUID=45D64CD3-C444-482B-AB15-22E2A6AA9395", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=443523&GUID=45D64CD3-C444-482B-AB15-22E2A6AA9395&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=443523&GUID=45D64CD3-C444-482B-AB15-22E2A6AA9395", "None", "None", "None"
"Public Works Committee - CANCELLED", "11/24/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=443522&GUID=6051D1B8-6C61-493D-94D5-A2CC79030482", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=443522&GUID=6051D1B8-6C61-493D-94D5-A2CC79030482&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=443522&GUID=6051D1B8-6C61-493D-94D5-A2CC79030482", "None", "None", "None"
"Finance and Management Committee - CANCELLED", "11/24/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=443521&GUID=5CEE98CC-8964-4695-B254-29BBCB160665", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=443521&GUID=5CEE98CC-8964-4695-B254-29BBCB160665&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=443521&GUID=5CEE98CC-8964-4695-B254-29BBCB160665", "None", "None", "None"
"Rules & Legislation Committee", "11/19/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441306&GUID=E13FD201-E399-4E96-AEF1-A39A5C44F362", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441306&GUID=E13FD201-E399-4E96-AEF1-A39A5C44F362&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441306&GUID=E13FD201-E399-4E96-AEF1-A39A5C44F362", "https://oakland.legistar.com/View.ashx?M=M&ID=441306&GUID=E13FD201-E399-4E96-AEF1-A39A5C44F362", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1876&Mode2=Video", "None"
" Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council", "11/17/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=442701&GUID=0907AC2B-6A3E-4701-9A7E-647A142561F6", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=442701&GUID=0907AC2B-6A3E-4701-9A7E-647A142561F6&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=442701&GUID=0907AC2B-6A3E-4701-9A7E-647A142561F6", "https://oakland.legistar.com/View.ashx?M=M&ID=442701&GUID=0907AC2B-6A3E-4701-9A7E-647A142561F6", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1874&Mode2=Video", "None"
"Rules and Legislation Committee - CANCELLED", "11/12/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=442670&GUID=BDB75C52-154D-453B-9C8C-2E63B97A5F65", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=442670&GUID=BDB75C52-154D-453B-9C8C-2E63B97A5F65&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=442670&GUID=BDB75C52-154D-453B-9C8C-2E63B97A5F65", "None", "None", "None"
"Public Safety Committee", "11/10/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441305&GUID=B9C1771F-30AC-485C-8DAD-9B2B876922D8", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441305&GUID=B9C1771F-30AC-485C-8DAD-9B2B876922D8&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441305&GUID=B9C1771F-30AC-485C-8DAD-9B2B876922D8", "https://oakland.legistar.com/View.ashx?M=M&ID=441305&GUID=B9C1771F-30AC-485C-8DAD-9B2B876922D8", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1872&Mode2=Video", "None"
"Life Enrichment Committee", "11/10/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441304&GUID=12C7EE18-D355-4F56-AE17-6E070FE6400A", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441304&GUID=12C7EE18-D355-4F56-AE17-6E070FE6400A&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441304&GUID=12C7EE18-D355-4F56-AE17-6E070FE6400A", "https://oakland.legistar.com/View.ashx?M=M&ID=441304&GUID=12C7EE18-D355-4F56-AE17-6E070FE6400A", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1871&Mode2=Video", "None"
"Community & Economic Development Committee", "11/10/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=438184&GUID=36A5C167-43A6-45A4-B14A-742ABC515CD9", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=438184&GUID=36A5C167-43A6-45A4-B14A-742ABC515CD9&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=438184&GUID=36A5C167-43A6-45A4-B14A-742ABC515CD9", "https://oakland.legistar.com/View.ashx?M=M&ID=438184&GUID=36A5C167-43A6-45A4-B14A-742ABC515CD9", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1870&Mode2=Video", "None"
"Public Works Committee", "11/10/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441303&GUID=817AE96D-51B2-4CB0-83EB-45935EF2181B", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441303&GUID=817AE96D-51B2-4CB0-83EB-45935EF2181B&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441303&GUID=817AE96D-51B2-4CB0-83EB-45935EF2181B", "https://oakland.legistar.com/View.ashx?M=M&ID=441303&GUID=817AE96D-51B2-4CB0-83EB-45935EF2181B", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1869&Mode2=Video", "None"
"Finance & Management Committee", "11/10/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441302&GUID=151D7B2C-7E6E-4A1B-8CC3-7241E48607C7", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441302&GUID=151D7B2C-7E6E-4A1B-8CC3-7241E48607C7&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441302&GUID=151D7B2C-7E6E-4A1B-8CC3-7241E48607C7", "https://oakland.legistar.com/View.ashx?M=M&ID=441302&GUID=151D7B2C-7E6E-4A1B-8CC3-7241E48607C7", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1868&Mode2=Video", "None"
"Rules and Legislation Committee - CANCELLED", "11/5/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=442664&GUID=CA041C7B-900A-4ABB-BBE1-0793ED6A5BD1", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=442664&GUID=CA041C7B-900A-4ABB-BBE1-0793ED6A5BD1&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=442664&GUID=CA041C7B-900A-4ABB-BBE1-0793ED6A5BD1", "None", "None", "None"
" Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council", "11/3/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441300&GUID=6B4C0ED1-4FA2-41B6-8685-0588A93E1D97", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441300&GUID=6B4C0ED1-4FA2-41B6-8685-0588A93E1D97&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441300&GUID=6B4C0ED1-4FA2-41B6-8685-0588A93E1D97", "https://oakland.legistar.com/View.ashx?M=M&ID=441300&GUID=6B4C0ED1-4FA2-41B6-8685-0588A93E1D97", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1865&Mode2=Video", "None"
"Rules & Legislation Committee", "10/29/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=438103&GUID=83EC00BC-79F9-442F-AA3D-5CB83C15421D", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=438103&GUID=83EC00BC-79F9-442F-AA3D-5CB83C15421D&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=438103&GUID=83EC00BC-79F9-442F-AA3D-5CB83C15421D", "https://oakland.legistar.com/View.ashx?M=M&ID=438103&GUID=83EC00BC-79F9-442F-AA3D-5CB83C15421D", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1863&Mode2=Video", "None"
"Public Safety Committee - CANCELLED", "10/27/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441851&GUID=B8852DB1-228E-45C0-94F7-1740C5DAC42C", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441851&GUID=B8852DB1-228E-45C0-94F7-1740C5DAC42C&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441851&GUID=B8852DB1-228E-45C0-94F7-1740C5DAC42C", "None", "None", "None"
"Life Enrichment Committee - CANCELLED", "10/27/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=438101&GUID=59881A47-5E1B-4FA0-9BD4-79D236FB2FEF", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=438101&GUID=59881A47-5E1B-4FA0-9BD4-79D236FB2FEF&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=438101&GUID=59881A47-5E1B-4FA0-9BD4-79D236FB2FEF", "None", "None", "None"
"Education Partnership Committee", "10/27/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=441641&GUID=47EEEBBE-3F7B-4F55-9A1D-97B287BEDF35", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor ** THIS MEETING HAS BEEN CANCELLED **", "https://oakland.legistar.com/MeetingDetail.aspx?ID=441641&GUID=47EEEBBE-3F7B-4F55-9A1D-97B287BEDF35&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=441641&GUID=47EEEBBE-3F7B-4F55-9A1D-97B287BEDF35", "None", "None", "None"
"Community and Economic Development Committee - CANCELLED", "10/27/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=440094&GUID=0ABEE947-A096-40A8-9E38-13DA75752446", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=440094&GUID=0ABEE947-A096-40A8-9E38-13DA75752446&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=440094&GUID=0ABEE947-A096-40A8-9E38-13DA75752446", "None", "None", "None"
"Public Works Committee - CANCELLED", "10/27/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=438100&GUID=E9D2D159-937E-4237-9884-2AA2E4ED3660", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=438100&GUID=E9D2D159-937E-4237-9884-2AA2E4ED3660&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=438100&GUID=E9D2D159-937E-4237-9884-2AA2E4ED3660", "None", "None", "None"
